,endTime,artistName,trackName,msPlayed
227,2020-12-28 04:30,Maroon 5,Sugar,11625
228,2020-12-28 04:44,Maroon 5,Memories,95767
229,2020-12-28 09:39,Maroon 5,Memories,36325
230,2020-12-29 01:42,Sweekar Agasthi,Patti Patti,288000
231,2020-12-29 01:43,Kishore Polimera,SottaBuggala O Sinnadi,3261
232,2020-12-29 01:47,Anurag Kulkarni,Asha Pasham,260000
233,2020-12-29 01:47,Venkat Rao,Yemi Janmanu,4748
234,2020-12-29 02:01,A.R. Rahman,Khwaja Mere Khwaja,203213
235,2020-12-29 02:13,A.R. Rahman,Khwaja Mere Khwaja,213878
236,2020-12-29 02:17,A.R. Rahman,Inn Lamhon Ke Daaman Mein,213773
237,2020-12-29 02:24,A.R. Rahman,Khwaja Mere Khwaja,416573
238,2020-12-29 02:31,A.R. Rahman,Inn Lamhon Ke Daaman Mein,386774
239,2020-12-29 02:32,Sachin Warrier,Thattathin Marayathe,59830
240,2020-12-29 02:37,Sid Sriram,"Parayuvaan - From ""Ishq""",277346
241,2020-12-29 02:41,Sid Sriram,"Parayuvaan - From ""Ishq""",255664
242,2020-12-29 11:42,Tippu,Poopol Poopol,116706
243,2020-12-29 12:04,Bombay Jayashri,Vaseegara,266425
244,2020-12-29 12:21,Bombay Jayashri,Vaseegara,4510
245,2020-12-29 18:03,Bombay Jayashri,Vaseegara,282599
246,2020-12-29 18:05,Tippu,Poopol Poopol,116706
247,2020-12-29 18:07,Bombay Jayashri,Vaseegara,134655
248,2020-12-30 03:17,Sid Sriram,Yaen Ennai Pirindhaai,198250
249,2020-12-30 03:20,Sid Sriram,Yaen Ennai Pirindhaai - Tamil,192014
250,2020-12-30 03:51,Pritam,Hardum Humdum,188000
251,2020-12-30 03:55,Pritam,Meri Tum Ho,227694
252,2020-12-30 03:59,Pritam,Dil Julaha,218452
253,2020-12-30 04:03,Pritam,Hardum Humdum (Film Version),265520
254,2020-12-30 04:07,Pritam,Meri Tum Ho (Unplugged),213833
255,2020-12-30 04:10,Pritam,Hardum Humdum (Female Version),188685
256,2020-12-30 04:15,Pritam,Aabaad Barbaad,309103
257,2020-12-30 04:18,Pritam,Hardum Humdum,188000
258,2020-12-30 04:22,Pritam,Meri Tum Ho,227694
259,2020-12-30 04:26,Pritam,Dil Julaha,218452
260,2020-12-30 04:30,Pritam,Hardum Humdum (Film Version),265520
261,2020-12-30 05:18,Pritam,Meri Tum Ho (Unplugged),177672
262,2020-12-30 07:16,Ritviz,Sun Toh,174222
263,2020-12-30 07:17,Ritviz,Udd Gaye - Bacardi House Party Sessions,19944
264,2020-12-30 07:17,Ritviz,Ved,56500
265,2020-12-30 07:17,Ritviz,Bali,12046
266,2020-12-30 07:20,DIVINE,Satya,150027
267,2020-12-30 07:22,DIVINE,Kaam 25 - Sacred Games,149524
268,2020-12-30 09:19,In Focus by The Hindu,The science behind why a cricket ball swings | The Hindu In Focus Podcast,13692
269,2020-12-30 13:35,In Focus by The Hindu,The Morocco-Israel deal and its implications for Western Sahara | The Hindu In Focus Podcast ,12096
270,2020-12-30 16:14,DIVINE,Kaam 25 - Sacred Games,85939
271,2020-12-31 02:31,Sumangali,Nuvvu Nuvvu,515010
272,2020-12-31 02:32,Kalpana,Musugu Veyyoddu,10551
273,2020-12-31 02:36,K. S. Chithra,Aha Allari,254876
274,2020-12-31 02:37,Sri,Govinda Govinda,53611
275,2020-12-31 02:41,K. S. Chithra,Aha Allari,254876
276,2020-12-31 02:42,Sri,Govinda Govinda,35243
277,2020-12-31 02:47,Sumangali,Nuvvu Nuvvu,333113
278,2020-12-31 02:52,Kalpana,Musugu Veyyoddu,308297
279,2020-12-31 02:59,Honey,Meme Indians,424150
280,2020-12-31 03:04,K. S. Chithra,Aha Allari,254876
281,2020-12-31 03:38,Sri,Govinda Govinda,223578
282,2020-12-31 03:53,K. S. Chithra,Aha Allari,266392
283,2020-12-31 04:14,Sumangali,Nuvvu Nuvvu,830961
284,2020-12-31 04:15,Sri,Govinda Govinda,59420
285,2021-01-02 03:24,Ritviz,Udd Gaye - Bacardi House Party Sessions,180413
286,2021-01-02 03:30,Ritviz,Sage,214236
287,2021-01-02 03:34,Ritviz,Sage,230204
288,2021-01-02 03:37,Ritviz,Chalo Chalein,184370
289,2021-01-02 03:40,Ritviz,Thandi Hawa,203076
290,2021-01-02 03:43,Ritviz,Jeet,184848
291,2021-01-02 03:46,Ritviz,Jeet 2.0,179093
292,2021-01-02 04:06,Ritviz,Jeet 2.0,25542
293,2021-01-02 04:11,DIVINE,3:59 AM,272197
294,2021-01-02 04:13,DIVINE,Mera Bhai,123945
295,2021-01-02 08:26,Ritviz,Udd Gaye - Bacardi House Party Sessions,165598
296,2021-01-02 10:46,Anirudh Ravichander,Ra Ra (Roar of the Revengers),250000
297,2021-01-02 10:51,Anirudh Ravichander,Hoyna Hoyna,271937
298,2021-01-02 10:56,Anirudh Ravichander,Ninnu Chuse Anandamlo,293000
299,2021-01-02 11:01,Anirudh Ravichander,Gangu Leader,138142
300,2021-01-02 11:05,Anirudh Ravichander,Gangu Leader,198834
301,2021-01-02 11:35,Anirudh Ravichander,Ra Ra (Roar of the Revengers),151838
302,2021-01-02 14:25,Ritviz,Sage,100019
303,2021-01-02 15:04,Ritviz,Sage,94236
304,2021-01-03 03:10,Sushin Shyam,Ezhutha Kadha,233113
305,2021-01-03 03:13,K Siya,Silent Cat,144355
306,2021-01-03 03:20,Akhil Unnikrishnan (KEL),Dont Fall,16794
307,2021-01-03 03:25,S. P. Balasubrahmanyam,Taralirada,339491
308,2021-01-03 03:26,S. P. Balasubrahmanyam,Taralirada,4
309,2021-01-03 03:26,S. P. Balasubrahmanyam,Taralirada,384
310,2021-01-03 03:38,S. P. Balasubrahmanyam,Taralirada,1127
311,2021-01-03 07:24,S. P. Balasubrahmanyam,Taralirada,27775
312,2021-01-03 07:28,Anirudh Ravichander,Yedhalo Oka Mounam - The Innocence of Love,156398
313,2021-01-03 07:32,Anirudh Ravichander,Nee Paartha Vizhigal - The Touch of Love,221894
314,2021-01-03 08:17,Anirudh Ravichander,Nee Paartha Vizhigal - The Touch of Love,42612
315,2021-01-03 12:12,DIVINE,Mirchi,166013
316,2021-01-03 12:34,DIVINE,Punya Paap,142241
317,2021-01-04 03:48,Anirudh Ravichander,A Life Full of Love Theme - Instrumental,115853
318,2021-01-04 03:53,Anirudh Ravichander,Why This Kolaveri Di? - The Soup of Love,260013
319,2021-01-04 03:54,Anirudh Ravichander,The Rhythm of Love Theme - Theme,74200
320,2021-01-04 03:58,Anirudh Ravichander,Po Nee Po - The Pain of Love,251786
321,2021-01-04 04:12,Anirudh Ravichander,Theme of 3,5647
322,2021-01-04 11:54,John Williams,Theme From Schindler's List,255693
323,2021-01-04 11:59,John Williams,"Jewish Town (Krakow Ghetto, Winter '41)",280133
324,2021-01-04 12:10,John Williams,"Immolation (With Our Lives, We Give Life)",1469
325,2021-01-04 12:10,John Williams,"Immolation (With Our Lives, We Give Life)",207113
326,2021-01-04 12:14,John Williams,Theme From Schindler's List,221031
327,2021-01-04 13:47,Bruno Mars,Count on Me,197373
328,2021-01-04 13:59,Bruno Mars,Count on Me,197373
329,2021-01-04 14:00,Bruno Mars,When I Was Your Man,44191
330,2021-01-04 14:00,Bruno Mars,Count on Me,8105
331,2021-01-04 14:00,Bruno Mars,Count on Me,10271
332,2021-01-04 14:00,Bruno Mars,Count on Me,1077
333,2021-01-04 14:03,Bruno Mars,The Lazy Song,163213
334,2021-01-04 14:08,Bruno Mars,Locked out of Heaven,33906
335,2021-01-04 14:08,Bruno Mars,When I Was Your Man,213826
336,2021-01-04 14:12,Bruno Mars,Count on Me,197373
337,2021-01-04 14:28,Bruno Mars,Count on Me,197373
338,2021-01-04 14:31,Bruno Mars,Count on Me,197373
339,2021-01-04 14:35,Bruno Mars,Count on Me,197373
340,2021-01-04 14:44,Bruno Mars,Count on Me,197373
341,2021-01-04 14:53,Bruno Mars,Count on Me,142360
342,2021-01-04 14:53,Bruno Mars,Count on Me,5138
343,2021-01-05 01:36,Linkin Park,In the End,13946
344,2021-01-05 01:39,Linkin Park,Numb,185586
345,2021-01-05 01:43,Linkin Park,What I've Done,205613
346,2021-01-05 01:46,JAY-Z,Numb / Encore,205733
347,2021-01-05 01:49,Linkin Park,One Step Closer,157333
348,2021-01-05 01:52,Linkin Park,In the End,216800
349,2021-01-05 01:55,Linkin Park,Numb,185586
350,2021-01-05 01:58,Linkin Park,Crawling,133573
351,2021-01-05 16:00,Linkin Park,Crawling,2819
352,2021-01-05 16:17,Bruno Mars,Count on Me,130159
353,2021-01-06 02:46,Karthik,Niluvaddham,357336
354,2021-01-06 02:46,Tippu,Something Something,2427
355,2021-01-06 02:46,S. P. Balasubrahmanyam,Ghal Ghal,1739
356,2021-01-06 02:50,Mallikarjun,Pari Poke Pitta,2776
357,2021-01-06 02:50,Shankar Mahadevan,Chandrullo Unde,255292
358,2021-01-06 02:52,Jassie Gift,Adirey Adirey,1931
359,2021-01-06 02:52,Karthik,Niluvaddham,1488
360,2021-01-06 02:52,Sagar,Padam Kadala,85307
361,2021-01-06 02:52,Tippu,Something Something,692
362,2021-01-06 02:58,S. P. Balasubrahmanyam,Ghal Ghal,357771
363,2021-01-06 03:02,Shankar Mahadevan,Chandrullo Unde,255292
364,2021-01-06 03:03,Mallikarjun,Pari Poke Pitta,4152
365,2021-01-06 03:09,K. J. Yesudas,Kathalo Rajakumari,253311
366,2021-01-06 03:15,Udit Narayan,Preminchu Kunna Vallu,43171
367,2021-01-06 03:15,K. J. Yesudas,Kathalo Rajakumari,317466
368,2021-01-06 03:23,K. J. Yesudas,Ye Navade Teramo,47118
369,2021-01-06 03:28,Udit Narayan,Preminchu Kunna Vallu,6742
370,2021-01-06 03:28,K. J. Yesudas,Kathalo Rajakumari,317466
371,2021-01-06 03:36,K. J. Yesudas,Kathalo Rajakumari,345271
372,2021-01-06 03:37,K. J. Yesudas,Bhoomiki Pachhani,30009
373,2021-01-06 03:37,K. J. Yesudas,Aa Poola Rangu,26623
374,2021-01-06 03:39,K. J. Yesudas,Musi Musi Navvulalona,70660
375,2021-01-06 03:46,K. J. Yesudas,"Boyavani Vetaku (From ""Rowdigari Pellam"")",136209
376,2021-01-06 03:48,K. J. Yesudas,Idele Tharatharala,142614
377,2021-01-06 03:49,K. J. Yesudas,Jumma Jumma,40698
378,2021-01-06 03:51,K. J. Yesudas,"Kunthi Kumari (From ""Rowdigari Pellam"")",117292
379,2021-01-06 03:52,K. J. Yesudas,Agaka Manasu,84651
380,2021-01-06 04:03,K. J. Yesudas,Priya Cheliya,47762
381,2021-01-06 04:03,K. J. Yesudas,Lalitha Priya,42616
382,2021-01-06 04:04,S. P. Balasubrahmanyam,Singarala,9646
383,2021-01-06 04:06,K. J. Yesudas,Chukkalle Thochave,160923
384,2021-01-06 04:11,K. J. Yesudas,Hey Pandu Ranga,299974
385,2021-01-06 04:13,K. J. Yesudas,Muddabanti Puvvulo,81284
386,2021-01-06 04:15,K. J. Yesudas,Srustikartha Oka Bramha,122107
387,2021-01-06 04:16,K. J. Yesudas,Anuragame Mantramga,64493
388,2021-01-06 04:25,K. J. Yesudas,Nuvvemi Chesavu,35059
389,2021-01-06 04:27,K. J. Yesudas,Achcha Tenugula,102130
390,2021-01-06 04:27,K. J. Yesudas,Konda Kona,18248
391,2021-01-06 04:36,K. J. Yesudas,Maha Gannpathim,73539
392,2021-01-06 04:36,K. J. Yesudas,Swami Ayyappa,21186
393,2021-01-06 04:42,K. J. Yesudas,Kathalo Rajakumari,276559
